"Mnemonic","Variable","Topic","Release",
"ADCP","Australian Defence Force service, detailed","Service with the Australian Defence Force","June 2022","New"
"ADFP","Australian Defence Force service","Service with the Australian Defence Force","June 2022","New"
"AGE10P","Age in ten year groups","Population","June 2022",
"AGE5P","Age in five year groups","Population","June 2022",
"AGEP","Age","Population","June 2022",
"ANC1P","Ancestry 1st response","Cultural diversity","June 2022",
"ANC2P","Ancestry 2nd response","Cultural diversity","June 2022",
"ANCP","Ancestry multi response","Cultural diversity","June 2022",
"ANCRP","Ancestry one or two response indicator","Cultural diversity","June 2022","New"
"ASSNP","Core activity need for assistance","Disability and carers","June 2022",
"BEDD","Number of bedrooms in private dwelling","Housing","June 2022",
"BEDRD","Number of bedrooms in private dwelling (ranges)","Housing","June 2022",
"BPFP","Country of birth of mother","Cultural diversity","June 2022",
"BPLP","Country of birth of person","Cultural diversity","June 2022",
"BPMP","Country of birth of father","Cultural diversity","June 2022",
"BPPP","Country of birth of parents","Cultural diversity","June 2022",
"C3SP","Attainment of certificate III or higher or working towards a non-school qualification","National reporting","October 2022",
"CACF","Count of all children in family","Household and families","June 2022",
"CALTHD","Count of adults (15 years and over) with selected long-term health condition(s) in household","Health","June 2022","New"
"CCLTHD","Count of children with selected long-term health condition(s) in household","Health","June 2022","New"
"CDCAF","Count of dependent children under 15 in family temporarily absent","Household and families","June 2022",
"CDCF","Count of dependent children in family","Household and families","June 2022",
"CDCUF","Count of dependent children under 15 in family","Household and families","June 2022","New"
"CDPP","Community Development Program participation","Income and work","October 2022",
"CDSAF","Count of dependent students (15-24 years) in family temporarily absent","Household and families","June 2022",
"CDSF","Count of dependent students (15-24 years) in family","Household and families","June 2022","New"
"CHCAREP","Unpaid child care","Unpaid work and care","June 2022",
"CITP","Australian citizenship","Cultural diversity","June 2022",
"CLTHP","Count of selected long-term health conditions","Health","June 2022","New"
"CNDAF","Count of non-dependent children in family temporarily absent","Household and families","June 2022",
"CNDCF","Count of non-dependent children in family","Household and families","June 2022",
"COARASP","Whether has arthritis and asthma","Health","June 2022","New"
"COARDBP","Whether has arthritis and diabetes","Health","June 2022","New"
"COARHDP","Whether has arthritis and heart disease","Health","June 2022","New"
"COARMHP","Whether has arthritis and mental health condition","Health","June 2022","New"
"COASHDP","Whether has asthma and heart disease","Health","June 2022","New"
"COASLCP","Whether has asthma and lung condition","Health","June 2022","New"
"COCNHDP","Whether has cancer and heart disease","Health","June 2022","New"
"CODBHDP","Whether has diabetes and heart disease","Health","June 2022","New"
"CODBKDP","Whether has diabetes and kidney disease","Health","June 2022","New"
"COHDKDP","Whether has heart disease and kidney disease","Health","June 2022","New"
